Movie,Festival Release,Genre,Subgenre,Director,Directorclass,Leadactor,Actorclass,Supporting Actor,Supporting Actor Class,Production House,Productionhouseclass,Boxofficecollection,MovieCost,Rediff_Rating,Rediff_Comment
ALL IS WELL,0,Comedy,Drama,Umesh Shukla,C,Abhishek Bachchan,C,Asin,,T-Series,B,12.65,36,1,"All Is Well is a lazy, idiotic film"
MANJHI,0,Drama,Biography,Ketan Mehta,C,Nawazuddin Siddiqui,B,Radhika Apte,,Dolby Digital,C,13.36,8.5,2.5,Manjhi The Mountain Man is watchable for Nawaz. And Nawaz alone
BROTHERS,0,Action,Drama,Karan Malhotra,C,Akshay Kumar,A,Sidharth Malhotra,B,Dharma Productions,A,77.18,82,1.5,Brothers is so bad it should be disqualified
DRISHYAM,0,Drama,Thriller ,Nishikant Kamat,C, Ajay Devgn,A,Shriya Saran,,Panorama Studios,B,65.22,65,2.5,Drishyam is a depressingly ordinary film
BAJRANGI BHAIJAAN,1,Comedy,Drama,Kabir Khan,A,Salman Khan,A,Kareena Kapoor,,Eros International,A,318,125,3.5,Bajrangi Bhaijaan is a solid crowdpleaser
BANGISTAN,0,Comedy,,Karan Anshuman,D,Jacqueline Fernandez,C,Riteish Deshmukh,,,,5.42,26,1,Bangistan is a colossal disappointment 
BAAHUBALI (HINDI),0,Action,Drama,S.S. Rajamouli,B,Prabhas,C,Anushka Shetty,,Arka Mediaworks,B,111,130,4,"Bahubali is mega, ingenious and envelope pushing!"
MASAAN,0,Drama,Romance,Neeraj Ghaywan,C,Richa Chadha,C,Sanjay Mishra,,Drishyam Films,C,2.1,6,3.5,Masaan is a truly impressive directorial debut
I LOVE NY,0,Romance,,Radhika Rao,C,Sunny Deol,C,Kangana Ranaut,,T-Series,B,2.5,15,0.5,"I Love NY, a great disservice to New Year's Eve and New York"
ABCD 2 ,0,Drama,Drama,Remo,C,Varun Dhawan,A,Shraddha Kapoor,,Utv Motion Pictures,A,105,60,2.5,"All dance, not enough soul!"
GUDDU RANGEELA,0,Comedy,Drama,Subhash Kapoor,C,Arshad Warsi,C,Amit Sadh,,Mangal Murti Films,D,8,15,3,Fine actors make Guddu Rangeela work
SECOND HAND HUSBAND,0,Comedy,,Smeep Kang,D,Sanjay Mishra,D,Dharmendra,,,,2.61,9,2,Second Hand Husband puts the fun in Punjabi
TANAKPUR,0,Comedy,Family,Kapri Vinod,D,Rahul Bagga,D,Hrishitaa Bhatt,,Fox STAR Studios,A,1.87,9,1.5,Miss Tanakpur Haazir Ho lacks bite
